ID,Rank,TOP_BLUE_Champ,JG_BLUE_Champ,MID_BLUE_Champ,BOT_BLUE_Champ,SUP_BLUE_Champ,TOP_RED_Champ,JG_RED_Champ,MID_RED_Champ,BOT_RED_Champ,SUP_RED_Champ,Blue_Win,Red_Win
4254622815,platinum,Aatrox,Lillia,Vex,Jinx,Vi,Jayce,Lee Sin,,Varus,Yuumi,False,True
4254474707,diamond,Volibear,Zac,Kai'Sa,Caitlyn,Pyke,Gnar,Jarvan IV,Vel'Koz,Jinx,Karma,True,False
4254423640,diamond,Gnar,Trundle,Kassadin,Jinx,Lulu,Ornn,Zac,Annie,Tristana,Leona,True,False
4253774232,,Tahm Kench,Ekko,Kai'Sa,Aphelios,Leona,Jayce,Viego,Ryze,Jinx,Senna,False,True
4253749891,diamond,Camille,Viego,Ahri,Aphelios,Xerath,Renekton,Shaco,Kassadin,Caitlyn,Lux,False,True
4253712166,diamond,Cho'Gath,Hecarim,Yasuo,Samira,Blitzcrank,Gwen,Viego,Gragas,Kai'Sa,Nautilus,True,False
4253608195,diamond,Gragas,Xin Zhao,Kayle,Xayah,Rakan,Sion,Viego,Katarina,Samira,Ashe,True,False
4253621964,diamond,Jax,Volibear,Fizz,Ashe,Janna,Gnar,Ekko,Qiyana,Jhin,Pyke,True,False
4253565471,diamond,Renekton,Lee Sin,LeBlanc,Ashe,Janna,Yasuo,Master Yi,Katarina,Lucian,Nautilus,True,False
4250706621,diamond,Graves,Diana,Sylas,Miss Fortune,Soraka,Jayce,Shaco,Pyke,Kai'Sa,Renata Glasc,True,False
4250721496,diamond,Sett,Graves,Taliyah,Jhin,Blitzcrank,Gnar,Viego,Sylas,Draven,Rakan,False,True
4250658199,diamond,Gnar,Xin Zhao,Malzahar,Twitch,Taliyah,Graves,Kayn,Gragas,Aphelios,Tahm Kench,True,False
4250672375,diamond,Gnar,Lee Sin,Malzahar,Jhin,Senna,Lucian,Volibear,Sylas,Ezreal,Renata Glasc,True,False
4250617971,diamond,Gnar,Graves,Vex,Ezreal,Pyke,Volibear,Viego,Zed,Jinx,Lulu,True,False
4249925652,platinum,Fizz,Lee Sin,Lissandra,Zeri,Nami,Jayce,Viego,Ahri,Kai'Sa,Blitzcrank,False,True
4249879013,diamond,Jayce,Lee Sin,Azir,Samira,Nautilus,Aatrox,Talon,Veigar,Jhin,Zilean,True,False
4249870820,diamond,Akali,Lee Sin,Akshan,Jinx,Karma,Irelia,Shyvana,Viktor,Twitch,Lulu,False,True
4249822060,diamond,Gnar,Ekko,Yasuo,Kai'Sa,Janna,Cho'Gath,Xin Zhao,Azir,Jinx,Blitzcrank,False,True
4249758059,platinum,Gangplank,Sion,Vladimir,Caitlyn,Nautilus,Gwen,Rengar,Yasuo,Twitch,Pyke,False,True
4249734999,diamond,Renekton,Diana,Yasuo,Ezreal,Janna,Riven,Nocturne,Ekko,Lucian,Lulu,False,True
4249769822,diamond,Jayce,Viego,Cho'Gath,Miss Fortune,Blitzcrank,Zac,Lee Sin,Ahri,Aphelios,Senna,True,False
4249687025,diamond,Gnar,Kayn,Vladimir,Lucian,Nami,Sett,Gwen,Irelia,Jinx,Seraphine,False,True
4249188369,diamond,Gnar,Graves,Annie,Vayne,Blitzcrank,Kayle,Fiddlesticks,Syndra,Zeri,Nautilus,True,False
4249183148,diamond,Irelia,Volibear,Gnar,Varus,Nami,Vladimir,Ekko,Renekton,Jinx,Yuumi,False,True
4249105533,diamond,Sett,Rengar,Zed,Xayah,Maokai,Gnar,Diana,Galio,Jinx,Nautilus,False,True
4249081679,diamond,Vladimir,Xin Zhao,Syndra,Ashe,Senna,Aatrox,Kindred,Annie,Aphelios,Nami,True,False
4248928029,diamond,Gnar,Lee Sin,Irelia,Veigar,Vel'Koz,Jax,Kindred,Vladimir,Jinx,Lulu,False,True
4248991265,diamond,Gnar,Viego,Orianna,Jinx,Janna,Nasus,Hecarim,Veigar,Zeri,Yuumi,True,False
4248885491,diamond,Darius,Zac,Kassadin,Vayne,Alistar,Graves,Xin Zhao,Diana,Samira,Nautilus,True,False
4248851381,diamond,Gnar,Diana,Yasuo,Lucian,Nami,Rumble,Lillia,Zed,Jhin,Morgana,True,False
4248793617,diamond,Jayce,Lee Sin,Seraphine,Twitch,Thresh,Akali,Volibear,Orianna,Zeri,Lulu,True,False
4247333196,,Camille,Jarvan IV,Orianna,Ziggs,Nautilus,Renekton,Viego,Akali,Ezreal,Nami,True,False
4247228687,diamond,Jayce,Xin Zhao,Ahri,Lucian,Nautilus,Aatrox,Rammus,Kai'Sa,Jinx,Nami,False,True
4247232178,diamond,Renekton,Diana,Yasuo,Jhin,Morgana,Irelia,Nidalee,Corki,Jinx,Leona,True,False
4247176339,platinum,Renekton,Kha'Zix,Anivia,Twitch,Renata Glasc,Gnar,Lee Sin,Fizz,Miss Fortune,Senna,False,True
4247160259,diamond,Gnar,Viego,Lissandra,Kai'Sa,Braum,Kled,Lee Sin,Xerath,Sivir,Lux,True,False
4247104786,platinum,Volibear,Kindred,Sion,Kai'Sa,Senna,Gnar,Master Yi,Karma,Draven,Leona,True,False
4247119941,diamond,Gnar,Diana,Yasuo,Ashe,Nautilus,Sion,Viego,Nunu & Willump,Jinx,Karma,True,False
4245706423,platinum,Poppy,Master Yi,Ziggs,Zeri,Karma,Sett,Elise,Kai'Sa,Ezreal,Braum,True,False
4245722926,diamond,Dr. Mundo,Singed,Twisted Fate,Zeri,Thresh,Nasus,Lee Sin,Cho'Gath,Kai'Sa,Zoe,True,False
4245700818,diamond,Aatrox,Evelynn,Ahri,Twitch,Senna,Sion,Viego,Viktor,Kai'Sa,Blitzcrank,True,False
4244993359,diamond,Riven,Lee Sin,Veigar,Jinx,Zyra,Cho'Gath,Viego,Anivia,Sivir,Pyke,True,False
4244970330,platinum,Ornn,Zed,Kayle,Draven,Nami,Gnar,Ekko,Fizz,Jinx,Tahm Kench,False,True
4244942603,platinum,Darius,Lee Sin,Lissandra,Jhin,Lux,Gangplank,Vi,Kayle,Twitch,Alistar,True,False
4244878621,platinum,Urgot,Lee Sin,Kai'Sa,Jhin,Brand,Camille,Viego,Veigar,Ezreal,Lux,True,False
4244220539,platinum,Quinn,Ekko,Viktor,Tristana,Leona,Garen,Hecarim,Malzahar,Twitch,Nami,True,False
4243190891,,Camille,Karthus,Kai'Sa,Samira,Nautilus,Gnar,Diana,Qiyana,Jhin,Alistar,False,True
4243106039,diamond,Gnar,Ekko,Wukong,Twitch,Lulu,Yorick,Viego,Vladimir,Xayah,Blitzcrank,True,False
4243120247,diamond,Gnar,Lee Sin,Viktor,Ezreal,Amumu,Sett,Rek'Sai,Qiyana,Caitlyn,Nami,False,True
4243056322,platinum,Nasus,Kayn,Vel'Koz,Zeri,Yuumi,Gragas,Ekko,Akshan,Jinx,Lulu,True,False
4243052345,platinum,Gangplank,Zed,Akali,Jinx,Nautilus,Graves,Diana,Kassadin,Jhin,Blitzcrank,False,True
4243009167,platinum,Singed,Gwen,Zed,Caitlyn,Nautilus,Camille,Xin Zhao,Ahri,Draven,Blitzcrank,False,True
4243005668,diamond,Jayce,Viego,Cassiopeia,Samira,Renata Glasc,Kayle,Graves,Anivia,Kai'Sa,Nami,True,False
4242983120,diamond,Gnar,Kindred,Ahri,Jinx,Nautilus,Shen,Fiddlesticks,Taliyah,Samira,Pyke,True,False
4242929301,diamond,Jax,Hecarim,Kai'Sa,Lucian,Pantheon,Gnar,Lee Sin,Syndra,Ziggs,Senna,False,True
4242398348,diamond,Jayce,Viego,Malzahar,Lucian,Nami,Akali,Jarvan IV,Kassadin,Sivir,Yuumi,False,True
4242372452,diamond,Heimerdinger,Kha'Zix,Ahri,Samira,Lux,Gnar,Ekko,Yone,Tristana,Pyke,True,False
4242295048,diamond,Riven,Xin Zhao,Sylas,Jhin,Lux,Renekton,Elise,Diana,Ezreal,Thresh,True,False
4241672972,diamond,Gnar,Viego,Vex,Samira,Alistar,Teemo,Sejuani,Viktor,Kalista,Nautilus,True,False
4241614945,diamond,Gnar,Viego,Viktor,Aphelios,,Jhin,Vi,Fizz,Samira,Nautilus,False,True
4241539538,platinum,Dr. Mundo,Warwick,Irelia,Zeri,Janna,Graves,Viego,Fizz,Vayne,Blitzcrank,True,False
4241464266,diamond,Jayce,Lee Sin,Lux,Draven,Zyra,Camille,Rek'Sai,Orianna,Aphelios,Nautilus,True,False
4241428880,platinum,Shen,Shaco,Qiyana,Ezreal,Senna,Jayce,Jarvan IV,Neeko,Jhin,Soraka,False,True
4241406261,diamond,Gnar,Ekko,Zed,Jinx,Pyke,Akshan,Shaco,Fizz,Twitch,Lulu,True,False
4241430701,diamond,Renekton,Elise,Malzahar,Zeri,Lux,Irelia,Rek'Sai,Lissandra,Samira,Zoe,False,True
4241328843,diamond,Graves,Lee Sin,Veigar,Ezreal,Zilean,Gragas,Hecarim,Akshan,Sivir,Yuumi,False,True
4239920066,platinum,Akshan,Jarvan IV,Lissandra,Twitch,Lulu,Ryze,Ekko,Yone,Jhin,Karma,False,True
4239877416,diamond,Gwen,Kindred,Sylas,Veigar,Nami,Dr. Mundo,Lee Sin,Twisted Fate,Ezreal,Soraka,False,True
4239862647,platinum,Yone,Kha'Zix,Ahri,Miss Fortune,Pyke,Akali,Karthus,Qiyana,Jhin,Nautilus,False,True
4239807419,diamond,Gnar,Nocturne,Cassiopeia,Kai'Sa,Nautilus,Graves,Nunu & Willump,Viktor,Jhin,Thresh,True,False
4239830236,platinum,Aatrox,Hecarim,Karma,Zeri,Lulu,Jayce,Nocturne,Soraka,Jinx,Anivia,False,True
4238896327,platinum,Teemo,Jarvan IV,Graves,Xayah,Blitzcrank,Gragas,Nocturne,Katarina,Zeri,Nami,False,True
4238902093,platinum,Darius,Shyvana,Malphite,Caitlyn,Karma,Gnar,Karthus,Irelia,Aphelios,Swain,True,False
4238865461,diamond,Akali,Vi,Yasuo,Zeri,Nautilus,Aatrox,Diana,Ahri,Jhin,Nami,True,False
4237422213,platinum,Aatrox,Nunu & Willump,Talon,Zeri,Renata Glasc,Gnar,Lee Sin,Vex,Taliyah,Senna,True,False
4237377164,diamond,Akali,Warwick,Talon,Miss Fortune,Rakan,Illaoi,Diana,Sett,Jinx,Karma,False,True
4237342220,diamond,Graves,Evelynn,Qiyana,Zeri,Pyke,Camille,Hecarim,Neeko,Jinx,Karma,True,False
4236814699,diamond,Jayce,Graves,Vel'Koz,Jinx,Thresh,Akali,Kha'Zix,Aurelion Sol,Ashe,Lux,True,False
4236768048,,Renekton,Trundle,Gwen,Jhin,Lux,Camille,Kayn,LeBlanc,Kai'Sa,Morgana,True,False
4236764456,diamond,Jayce,Diana,Yasuo,Zeri,Heimerdinger,Aatrox,Kindred,Veigar,Aphelios,Braum,True,False
4236705950,diamond,Gnar,Master Yi,Ahri,Twitch,Vel'Koz,Garen,Jax,Fizz,Karthus,Morgana,True,False
4236719748,diamond,Gwen,Jarvan IV,Galio,Aphelios,Pyke,Ornn,Amumu,Vladimir,Ezreal,Xerath,True,False
4236674045,platinum,Yone,Kayn,Veigar,Miss Fortune,Thresh,Gnar,Shaco,Lissandra,Aphelios,Renata Glasc,False,True
4236608993,platinum,Urgot,Diana,Qiyana,Lucian,Nami,Gnar,Karthus,Graves,Kai'Sa,Renata Glasc,False,True
4235818244,diamond,Ryze,Ivern,Yone,Yasuo,Anivia,Aatrox,Lee Sin,Lux,Zeri,Karma,True,False
4235824080,diamond,Gnar,Rengar,Diana,Ezreal,Karma,Sett,Lillia,Akali,Zeri,Thresh,True,False
4235747958,diamond,Graves,Zed,Twisted Fate,Kai'Sa,Zoe,Renekton,Hecarim,Akali,Jinx,Seraphine,False,True
4234918668,diamond,Ryze,Viego,Akshan,Jinx,Senna,Gwen,Nocturne,Vladimir,Jhin,Brand,True,False
4234910880,platinum,Aatrox,Karthus,Irelia,Jhin,Janna,Jayce,Lee Sin,Vex,Jinx,Veigar,True,False
4234884280,platinum,Jayce,Nunu & Willump,Diana,Jhin,Veigar,Camille,Shyvana,Kassadin,Ashe,Pyke,True,False
4234786694,diamond,Gnar,Graves,Rumble,Lucian,Renata Glasc,Nasus,Diana,Zoe,Jinx,Soraka,True,False
4234800248,platinum,Sion,Gwen,Zoe,Tristana,Seraphine,Camille,Master Yi,Akali,Ezreal,Twitch,False,True
4234724926,diamond,Akali,Graves,Cho'Gath,Lucian,Nami,Singed,Zed,Orianna,Twitch,Yuumi,False,True
4233988573,platinum,Renekton,Nidalee,Viktor,Caitlyn,Lux,Jayce,Jarvan IV,Ahri,Veigar,Leona,False,True
4255481599,diamond,Sett,Hecarim,Ahri,Vayne,Shen,Sion,Kayn,Kai'Sa,Jinx,Sona,False,True
4255378509,platinum,Jax,Evelynn,Jhin,Zeri,Pyke,Fiora,Lee Sin,Sion,Jinx,Twitch,False,True
4255356353,diamond,Garen,Kindred,Ahri,Kai'Sa,Leona,Ornn,Viego,Vayne,Varus,Senna,True,False
4255371524,diamond,Kayle,Kindred,Viktor,Lucian,Nami,Kennen,Lee Sin,Sylas,Zeri,Seraphine,True,False
4255331176,diamond,Ornn,Ekko,Lucian,Ezreal,Sona,Volibear,Graves,Sylas,Zeri,Janna,True,False
4255102435,diamond,Gnar,Kha'Zix,Aurelion Sol,Twitch,Shen,Sion,Viego,Viktor,Ezreal,Yuumi,True,False
4255110219,platinum,Garen,Viego,Sivir,Samira,Nautilus,Yorick,Graves,Veigar,Lucian,Yuumi,False,True
4255037972,diamond,Mordekaiser,Kha'Zix,Zed,Kai'Sa,Senna,Garen,Viego,Ahri,Lucian,Janna,True,False
4254903796,diamond,Kennen,Master Yi,Kai'Sa,Xayah,Yuumi,Aatrox,Shaco,Ahri,Zeri,Nautilus,False,True
4254573367,diamond,Sett,Evelynn,Qiyana,Lucian,Nami,Renekton,Diana,Yasuo,Kai'Sa,Senna,False,True
4254530623,diamond,Darius,Vi,Ahri,Jinx,Thresh,Volibear,Warwick,Orianna,Samira,Pyke,False,True
4253501343,platinum,Akshan,Nunu & Willump,Ezreal,Jinx,Blitzcrank,Graves,Rengar,Ekko,Samira,Nautilus,False,True
4253172909,diamond,Jax,Ekko,Qiyana,Lucian,Blitzcrank,Fiora,Karthus,Annie,Zeri,Taric,True,False
4253143608,diamond,Urgot,Viego,Ahri,Jhin,Thresh,Jax,Jarvan IV,Viktor,Zeri,Sona,True,False
